1,5,61,17,246,86,0
1,6,61,17,11,79,0
2,5,302,22,246,86,0
2,10,302,22,468,158,0
3,7,658,18,592,81,0
3,13,658,18,890,166,0
4,8,987,51,940,106,0
5,1,246,86,61,17,0
5,2,246,86,302,22,0
6,1,11,79,61,17,0
6,9,11,79,191,150,0
7,3,592,81,658,18,0
7,11,592,81,532,118,0
7,12,592,81,626,128,0
8,4,940,106,987,51,0
8,13,940,106,890,166,0
8,30,940,106,1133,217,0
9,5,191,150,246,86,0
9,6,191,150,11,79,0
9,14,191,150,141,210,0
9,15,191,150,331,244,0
10,2,468,158,302,22,0
10,11,468,158,532,118,0
10,16,468,158,402,201,0
10,17,468,158,554,249,0
11,7,532,118,592,81,0
11,10,532,118,468,158,0
11,18,532,118,594,182,0
12,7,626,128,592,81,0
12,18,626,128,594,182,0
12,19,626,128,827,242,0
13,3,890,166,658,18,0
13,8,890,166,940,106,0
13,19,890,166,827,242,0
13,20,890,166,1099,282,0
14,21,141,210,92,269,0
14,22,141,210,274,296,0
15,9,331,244,191,150,0
15,16,331,244,402,201,0
15,22,331,244,274,296,0
15,23,331,244,370,308,0
16,5,402,201,246,86,0
16,10,402,201,468,158,0
16,15,402,201,331,244,0
16,24,402,201,500,326,0
17,10,554,249,468,158,0
17,18,554,249,594,182,0
17,24,554,249,500,326,0
17,31,554,249,708,378,0
18,11,594,182,532,118,0
18,12,594,182,626,128,0
18,17,594,182,554,249,0
18,25,594,182,765,312,0
19,12,827,242,626,128,0
19,13,827,242,890,166,0
19,25,827,242,765,312,0
19,26,827,242,1040,362,0
20,13,1099,282,890,166,0
20,26,1099,282,1040,362,0
20,30,1099,282,1133,217,0
21,14,92,269,141,210,0
21,27,92,269,32,330,0
21,28,92,269,227,358,0
22,14,274,296,141,210,0
22,15,274,296,331,244,0
22,28,274,296,227,358,0
23,15,370,308,331,244,0
23,29,370,308,453,385,0
23,40,370,308,223,510,0
24,16,500,326,402,201,0
24,17,500,326,554,249,0
24,29,500,326,453,385,0
24,35,500,326,651,447,0
25,18,765,312,594,182,0
25,19,765,312,827,242,0
25,31,765,312,708,378,0
25,36,765,312,978,446,0
26,19,1040,362,827,242,0
26,20,1040,362,1099,282,0
26,36,1040,362,978,446,0
27,21,32,330,92,269,0
27,32,32,330,185,413,0
28,21,227,358,92,269,0
28,22,227,358,274,296,0
28,32,227,358,185,413,0
29,23,453,385,370,308,0
29,24,453,385,500,326,0
29,34,453,385,405,455,0
29,43,453,385,598,514,0
30,8,1133,217,940,106,0
30,20,1133,217,1099,282,0
31,17,708,378,554,249,0
31,25,708,378,765,312,0
31,35,708,378,651,447,0
31,44,708,378,925,518,0
32,27,185,413,32,330,0
32,28,185,413,227,358,0
32,39,185,413,146,473,0
33,37,94,442,48,508,0
33,39,94,442,146,473,0
34,29,405,455,453,385,0
34,41,405,455,454,495,0
35,24,651,447,500,326,0
35,31,651,447,708,378,0
35,43,651,447,598,514,0
36,25,978,446,765,312,0
36,26,978,446,1040,362,0
36,44,978,446,925,518,0
37,33,48,508,94,442,0
38,39,108,528,146,473,0
39,32,146,473,185,413,0
39,33,146,473,94,442,0
39,38,146,473,108,528,0
39,40,146,473,223,510,0
40,23,223,510,370,308,0
40,39,223,510,146,473,0
41,34,454,495,405,455,0
41,42,454,495,503,533,0
42,41,503,533,454,495,0
43,29,598,514,453,385,0
43,35,598,514,651,447,0
44,31,925,518,708,378,0
44,36,925,518,978,446,0
