1,5,61,17,246,86,197
1,6,61,17,11,79,79
2,5,302,22,246,86,85
2,10,302,22,468,158,214
3,7,658,18,592,81,91
3,13,658,18,890,166,275
4,8,987,51,940,106,72
6,9,11,79,191,150,193
7,11,592,81,532,118,70
7,12,592,81,626,128,58
8,13,940,106,890,166,78
8,30,940,106,1133,217,222
9,5,191,150,246,86,84
9,14,191,150,141,210,78
9,15,191,150,331,244,168
10,11,468,158,532,118,75
10,16,468,158,402,201,78
10,17,468,158,554,249,125
11,18,532,118,594,182,89
12,18,626,128,594,182,62
12,19,626,128,827,242,231
13,19,890,166,827,242,98
13,20,890,166,1099,282,239
14,21,141,210,92,269,76
14,22,141,210,274,296,158
15,16,331,244,402,201,83
15,22,331,244,274,296,77
15,23,331,244,370,308,74
16,5,402,201,246,86,193
16,24,402,201,500,326,158
17,18,554,249,594,182,78
17,24,554,249,500,326,94
17,31,554,249,708,378,200
18,25,594,182,765,312,214
19,25,827,242,765,312,93
19,26,827,242,1040,362,244
20,26,1099,282,1040,362,99
20,30,1099,282,1133,217,73
21,27,92,269,32,330,85
21,28,92,269,227,358,161
22,28,274,296,227,358,77
23,29,370,308,453,385,113
23,40,370,308,223,510,249
24,29,500,326,453,385,75
24,35,500,326,651,447,193
25,31,765,312,708,378,87
25,36,765,312,978,446,251
26,36,1040,362,978,446,104
27,32,32,330,185,413,174
28,32,227,358,185,413,69
29,34,453,385,405,455,84
29,43,453,385,598,514,194
31,35,708,378,651,447,89
31,44,708,378,925,518,258
32,39,185,413,146,473,71
33,37,94,442,48,508,80
33,39,94,442,146,473,60
34,41,405,455,454,495,63
35,43,651,447,598,514,85
36,44,978,446,925,518,89
38,39,108,528,146,473,66
39,40,146,473,223,510,85
41,42,454,495,503,533,62
