1,61,17,20,20
2,302,22,20,20
3,658,18,20,20
4,987,51,20,20
5,246,86,20,20
6,11,79,20,20
7,592,81,20,20
8,940,106,20,20
9,191,150,20,20
10,468,158,20,20
11,532,118,20,20
12,626,128,20,20
13,890,166,20,20
14,141,210,20,20
15,331,244,20,20
16,402,201,20,20
17,554,249,20,20
18,594,182,20,20
19,827,242,20,20
20,1099,282,20,20
21,92,269,20,20
22,274,296,20,20
23,370,308,20,20
24,500,326,20,20
25,765,312,20,20
26,1040,362,20,20
27,32,330,20,20
28,227,358,20,20
29,453,385,20,20
30,1133,217,20,20
31,708,378,20,20
32,185,413,20,20
33,94,442,20,20
34,405,455,20,20
35,651,447,20,20
36,978,446,20,20
37,48,508,20,20
38,108,528,20,20
39,146,473,20,20
40,223,510,20,20
41,454,495,20,20
42,503,533,20,20
43,598,514,20,20
44,925,518,20,20
